,,
,,
,,
Vegetarian,$6.99 ,$7.99 
Chicken,$8.09 ,$8.99 
Fish,$9.99 ,$10.99 
Lamb,$9.99 ,$10.99 
Special of the Day,$9.99 ,$10.99 
Tandoori Chicken,$10.99 ,
Biryani with Raita: Chicken,$8.49 ,
Biryani with Raita:Vegetable,$7.49 ,
Samosa (2 pieces) ... $3.79,Juice (Lychee/Guava/Mango)$3.49,
,,
,,
Pakora … $3.99,Desi Drink … $4.29,
Chaat … $3.99,Chai Tea (8 oz) … $1.75,
Kathi Roll,Rice Pudding … $3.49,
,,
 Vegetarian … $5.49,,
,,
 Non-Vegetarian … $6.49,,
Desi Fried Rice … $8.50,Gulab Jamun … $3.99,
Naan Bread $1.89,Extra Chutney … $1.00,
Garlic Naan … $1.99,Extra Sauce .. $1.00,
Mango/Rose Lassi … $4.29,Extra Protein x1… $1.00…. x2 $2.00,
