,,
,,
,,
Vegetarian (Includes Rice),$6.99 ,$7.99 
Chicken (Includes Rice),$8.09 ,$8.99 
Fish (Includes Rice),$9.99 ,$10.99 
Lamb (Includes Rice),$9.99 ,$10.99 
Special of the Day (Includes Rice),$9.99 ,$10.99 
Tandoori Chicken (Includes Rice),$10.99 ,
Biryani with Raita: Chicken (Includes Rice),$8.49 ,
Biryani with Raita: Vegetable (Includes Rice),$7.49 ,
Samosa (2 pieces),$3.79 ,
Juice (Lychee/Guava/Mango),$3.49 ,
Pakora,$3.99 ,
Chaat ,$3.99 ,
Desi Drink,$4.29 ,
Chai Tea (8 oz),$1.75 ,
Rice Pudding,$3.49 ,
 Vegetarian,$5.49 ,
 Non-Vegetarian,$6.49 ,
Desi Fried Rice ,$8.50 ,
Naan Bread ,$1.89 ,
Garlic Naan,$1.99 ,
Mango/Rose Lassi,$4.29 ,
Gulab Jamun,$3.99 ,
Extra Chutney,$1.00 ,
Extra Sauce,$1.00 ,
Extra Protein,$1.00 ,
